"filename", "language", "SQL", "JavaScript", "JSON", "Properties", "JSON with Comments", "XML", "HTML", "Markdown", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\backend\backend\.env", "Properties", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\backend\backend\Controllers\AchivementsController.js", "JavaScript", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 85
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\backend\backend\Controllers\CoursesController.js", "JavaScript", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 87
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\backend\backend\Controllers\UserController.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 51
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\backend\backend\connectPool.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 47
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\backend\backend\data\corsOptions.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\backend\backend\index.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 4, 79
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\backend\backend\migration.sql", "SQL", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 54
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\backend\backend\migrations.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 19
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\backend\backend\package-lock.json", "JSON", 0, 0, 2153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2154
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\backend\backend\package.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\backend\backend\router\Router.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 74
