Date : 2023-05-19 18:36:58
Directory : c:\Users\DASHAK\Downloads\4f56d7aea4adf29b
Total : 59 files,  35353 codes, 298 comments, 277 blanks, all 35928 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          5 |     33,119 |          0 |          5 |     33,124 |
| TypeScript JSX     |         12 |        979 |        193 |         73 |      1,245 |
| CSS                |          9 |        591 |          5 |         99 |        695 |
| JavaScript         |          8 |        364 |         71 |         29 |        464 |
| SQL                |          6 |        130 |          1 |         37 |        168 |
| XML                |         12 |         78 |          0 |          6 |         84 |
| JSON with Comments |          1 |         27 |          0 |          1 |         28 |
| Markdown           |          1 |         26 |          0 |         21 |         47 |
| HTML               |          1 |         20 |         23 |          1 |         44 |
| TypeScript         |          3 |         14 |          5 |          5 |         24 |
| Properties         |          1 |          5 |          0 |          0 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                  |         59 |     35,353 |        298 |        277 |     35,928 |
| . (Files)                                                                                                          |          5 |         85 |          0 |         29 |        114 |
| backend                                                                                                            |         12 |      2,587 |         72 |         39 |      2,698 |
| backend\backend                                                                                                    |         12 |      2,587 |         72 |         39 |      2,698 |
| backend\backend (Files)                                                                                            |          7 |      2,293 |         67 |         19 |      2,379 |
| backend\backend\Controllers                                                                                        |          3 |        208 |          1 |         14 |        223 |
| backend\backend\data                                                                                               |          1 |         20 |          0 |          2 |         22 |
| backend\backend\router                                                                                             |          1 |         66 |          4 |          4 |         74 |
| frontend                                                                                                           |         42 |     32,681 |        226 |        209 |     33,116 |
| frontend\frontend                                                                                                  |         42 |     32,681 |        226 |        209 |     33,116 |
| frontend\frontend (Files)                                                                                          |          4 |     30,974 |          0 |         24 |     30,998 |
| frontend\frontend\.idea                                                                                            |          4 |         32 |          0 |          0 |         32 |
| frontend\frontend\.idea (Files)                                                                                    |          3 |         26 |          0 |          0 |         26 |
| frontend\frontend\.idea\inspectionProfiles                                                                         |          1 |          6 |          0 |          0 |          6 |
| frontend\frontend\public                                                                                           |          2 |         45 |         23 |          2 |         70 |
| frontend\frontend\src                                                                                              |         32 |      1,630 |        203 |        183 |      2,016 |
| frontend\frontend\src (Files)                                                                                      |          9 |        187 |         12 |         25 |        224 |
| frontend\frontend\src\components                                                                                   |         13 |        503 |        187 |         64 |        754 |
| frontend\frontend\src\components (Files)                                                                           |          2 |        188 |        186 |         22 |        396 |
| frontend\frontend\src\components\Authorization                                                                     |          2 |        189 |          0 |         20 |        209 |
| frontend\frontend\src\components\Header                                                                            |          2 |         81 |          1 |         16 |         98 |
| frontend\frontend\src\components\images                                                                            |          7 |         45 |          0 |          6 |         51 |
| frontend\frontend\src\pages                                                                                        |         10 |        940 |          4 |         94 |      1,038 |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                           | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\backend\backend\.env                                                    | Properties         |          5 |          0 |          0 |          5 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\backend\backend\Controllers\AchivementsController.js                    | JavaScript         |         79 |          0 |          6 |         85 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\backend\backend\Controllers\CoursesController.js                        | JavaScript         |         82 |          0 |          5 |         87 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\backend\backend\Controllers\UserController.js                           | JavaScript         |         47 |          1 |          3 |         51 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\backend\backend\connectPool.js                                          | JavaScript         |         36 |          8 |          3 |         47 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\backend\backend\data\corsOptions.js                                     | JavaScript         |         20 |          0 |          2 |         22 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\backend\backend\index.js                                                | JavaScript         |         21 |         54 |          4 |         79 |
